# Portfolio Value: 497395.65, Gross Notional: 467871.30, Net Notional: -267218.30, Date: 20251018
symbol,quantity,market_price,notional,pct_of_gross_notional,pct_of_portfolio_value,forecast,volatility,ema_8,ema_32,ema_64,ema_256
NQ.v.0,1.00,25033.50,50067.00,10.70,10.07,9.74,0.202942,24897.310408,24681.623016,24224.590528,22744.548852
ZR.v.0,-1.000000,10.640000,-21280.000000,4.548259,4.278284,-20.000000,0.201058,10.747974,11.225557,11.691755,12.587653
6E.v.0,0.000000,1.169000,0.000000,0.000000,0.000000,2.762216,0.070990,1.168410,1.171780,1.170583,1.146786
HE.v.0,0.000000,82.350000,0.000000,0.000000,0.000000,-20.000000,0.338240,83.885395,88.011663,91.046835,94.009376
6M.v.0,1.000000,0.054090,27045.000000,5.780436,5.437321,9.399536,0.076227,0.053875,0.053828,0.053594,0.052200
CL.v.0,-2.000000,57.250000,-114500.000000,24.472542,23.019904,-20.000000,0.278129,58.817975,61.307186,62.598604,64.864198
6J.v.0,0.000000,0.006678,0.000000,0.000000,0.000000,-7.578374,0.093894,0.006663,0.006720,0.006761,0.006798
PL.v.0,0.000000,1629.800000,0.000000,0.000000,0.000000,12.212537,0.415045,1673.749182,1581.862120,1498.807240,1297.876800
UB.v.0,0.000000,122.562500,0.000000,0.000000,0.000000,20.000000,0.098685,122.071954,120.682385,119.703031,118.797073
GC.v.0,0.000000,4267.900000,0.000000,0.000000,0.000000,20.000000,0.219336,4184.231333,3934.907497,3763.563256,3441.170006
GF.v.0,0.000000,371.700000,0.000000,0.000000,0.000000,14.302830,0.214514,374.563596,363.170586,352.258123,322.890536
ZL.v.0,0.000000,51.100000,0.000000,0.000000,0.000000,1.519091,0.222919,50.753847,51.017620,51.410384,50.053471
ZM.v.0,-1.000000,281.000000,-28100.000000,6.005925,5.649426,-10.991862,0.169553,277.195856,279.338838,282.064784,288.432446
HG.v.0,0.000000,4.997500,0.000000,0.000000,0.000000,5.102966,0.332739,5.004602,4.892514,4.838937,4.795137
6B.v.0,0.000000,1.342900,0.000000,0.000000,0.000000,1.517974,0.063972,1.339646,1.343294,1.345150,1.332471
RB.v.0,-1.000000,1.779400,-74734.800000,15.973367,15.025222,-20.000000,0.280688,1.828443,1.895632,1.947264,2.040514
RTY.v.0,0.000000,2469.600000,0.000000,0.000000,0.000000,10.726600,0.221130,2479.933811,2451.017389,2398.286441,2260.499646
LE.v.0,0.000000,242.000000,0.000000,0.000000,0.000000,16.322352,0.186419,243.281635,238.014147,233.238445,220.334039
6S.v.0,0.000000,1.268450,0.000000,0.000000,0.000000,8.298924,0.081340,1.263060,1.261709,1.257758,1.228085
6N.v.0,-1.000000,0.574100,-57410.000000,12.270468,11.542119,-16.849309,0.065825,0.574938,0.581481,0.585984,0.588040
KE.v.0,0.000000,491.750000,0.000000,0.000000,0.000000,-16.180671,0.207474,489.948469,499.703608,508.643679,530.487305
ZC.v.0,0.000000,423.000000,0.000000,0.000000,0.000000,-2.293996,0.198072,418.820712,418.653571,419.856907,434.656050
6C.v.0,-1.000000,0.715200,-71520.000000,15.286255,14.378895,-12.481068,0.038938,0.715288,0.719481,0.722222,0.721081
SI.v.0,0.000000,50.625000,0.000000,0.000000,0.000000,20.000000,0.374552,50.643148,46.971132,44.103762,38.693749
ZN.v.0,0.000000,113.453125,0.000000,0.000000,0.000000,18.314440,0.045002,113.287698,112.895895,112.564490,111.559662
YM.v.0,1.000000,46429.000000,23214.500000,4.961728,4.667210,9.059488,0.129268,46376.577100,46307.913424,45829.377243,44305.848526
ZS.v.0,0.000000,1021.000000,0.000000,0.000000,0.000000,-5.957405,0.133321,1013.932709,1019.679882,1023.905791,1029.391075
ZW.v.0,0.000000,504.500000,0.000000,0.000000,0.000000,-18.077140,0.195683,503.341170,512.358369,519.238588,533.030585
