# Portfolio Value: 501787.78, Gross Notional: 707928.70, Net Notional: -287079.70, Date: 20251017
symbol,quantity,market_price,notional,pct_of_gross_notional,pct_of_portfolio_value,forecast,volatility,ema_8,ema_32,ema_64,ema_256
6E.v.0,0.00,1.17,0.00,0.00,0.00,3.74,0.071015,1.168242,1.171960,1.170632,1.146472
ZN.v.0,0.000000,113.875000,0.000000,0.000000,0.000000,20.000000,0.043696,113.240433,112.859945,112.536232,111.540383
6M.v.0,1.000000,0.053910,26955.000000,3.807587,5.371793,6.972134,0.076219,0.053813,0.053811,0.053578,0.052180
NQ.v.0,1.000000,24758.250000,49516.500000,6.994560,9.868016,8.198557,0.202972,24858.399096,24658.921251,24198.874904,22722.323749
ZR.v.0,-1.000000,10.700000,-21400.000000,3.022903,4.264751,-20.000000,0.204215,10.778824,11.263334,11.725201,12.606838
CL.v.0,-2.000000,57.390000,-114780.000000,16.213497,22.874212,-20.000000,0.283558,59.265967,61.568940,62.768532,64.939088
6J.v.0,0.000000,0.006698,0.000000,0.000000,0.000000,-7.590000,0.095569,0.006659,0.006723,0.006763,0.006798
PL.v.0,1.000000,1757.200000,87860.000000,12.410854,17.509394,20.000000,0.338319,1686.306091,1578.769347,1494.640626,1294.369456
UB.v.0,0.000000,123.218750,0.000000,0.000000,0.000000,20.000000,0.098377,121.931798,120.561087,119.612227,118.767096
GC.v.0,0.000000,4378.800000,0.000000,0.000000,0.000000,20.000000,0.195009,4160.326000,3913.424083,3747.526566,3432.527550
SI.v.0,0.000000,53.660000,0.000000,0.000000,0.000000,20.000000,0.319207,50.648333,46.735398,43.896412,38.572260
6C.v.0,-2.000000,0.713850,-142770.000000,20.167285,28.452267,-14.834694,0.038541,0.715313,0.719757,0.722444,0.721109
YM.v.0,2.000000,46093.000000,46093.000000,6.510966,9.185756,7.828048,0.128512,46361.599128,46300.101365,45810.309640,44285.828485
6B.v.0,0.000000,1.344400,0.000000,0.000000,0.000000,1.084133,0.065047,1.338717,1.343319,1.345220,1.332293
RB.v.0,-1.000000,1.810100,-76024.200000,10.738963,15.150668,-20.000000,0.281229,1.842456,1.903130,1.952595,2.042762
RTY.v.0,0.000000,2474.300000,0.000000,0.000000,0.000000,12.153112,0.225490,2482.886328,2449.818509,2396.020502,2258.686857
LE.v.0,0.000000,247.750000,0.000000,0.000000,0.000000,20.000000,0.169612,243.647816,237.756994,232.959840,220.119244
ZM.v.0,-1.000000,277.300000,-27730.000000,3.917061,5.526241,-15.912590,0.166920,276.108957,279.231666,282.098643,288.505926
GF.v.0,0.000000,380.975000,0.000000,0.000000,0.000000,20.000000,0.199906,375.381767,362.620300,351.639900,322.407527
ZL.v.0,0.000000,50.850000,0.000000,0.000000,0.000000,0.568235,0.226089,50.654946,51.012305,51.420254,50.042214
HG.v.0,0.000000,4.981000,0.000000,0.000000,0.000000,4.889180,0.339436,5.006631,4.885741,4.833894,4.792514
6S.v.0,0.000000,1.271000,0.000000,0.000000,0.000000,8.102233,0.082344,1.261520,1.261274,1.257417,1.227620
6N.v.0,-2.000000,0.574000,-114800.000000,16.216322,22.878198,-17.623925,0.066938,0.575177,0.581957,0.586361,0.588140
KE.v.0,0.000000,489.250000,0.000000,0.000000,0.000000,-18.027195,0.210926,489.433746,500.216746,509.180872,530.867029
ZC.v.0,0.000000,422.000000,0.000000,0.000000,0.000000,-3.700132,0.202397,417.626630,418.373155,419.756901,434.773583
ZS.v.0,0.000000,1011.750000,0.000000,0.000000,0.000000,-9.694506,0.131858,1011.913483,1019.594713,1023.998247,1029.466730
HE.v.0,0.000000,82.550000,0.000000,0.000000,0.000000,-20.000000,0.345142,84.324079,88.376933,91.323382,94.121891
ZW.v.0,0.000000,502.500000,0.000000,0.000000,0.000000,-20.000000,0.199220,503.010076,512.865362,519.707253,533.309368
