# Portfolio Value: 497395.65, Gross Notional: 467871.30, Net Notional: -267218.30, Date: 20251019
symbol,quantity,market_price,notional,pct_of_gross_notional,pct_of_portfolio_value,forecast,volatility,ema_8,ema_32,ema_64,ema_256
NQ.v.0,1.00,25033.50,50067.00,10.70,10.07,9.38,0.201201,24897.310408,24681.623037,24224.617011,22746.513112
ZR.v.0,-1.000000,10.640000,-21280.000000,4.548259,4.278284,-20.000000,0.201668,10.747974,11.225556,11.691628,12.585360
6E.v.0,0.000000,1.169000,0.000000,0.000000,0.000000,2.748891,0.071166,1.168410,1.171780,1.170584,1.146902
HE.v.0,0.000000,82.350000,0.000000,0.000000,0.000000,-20.000000,0.338676,83.885395,88.011664,91.047172,94.025551
6M.v.0,1.000000,0.054090,27045.000000,5.780436,5.437321,9.383228,0.076181,0.053875,0.053828,0.053594,0.052205
CL.v.0,-2.000000,57.250000,-114500.000000,24.472542,23.019904,-20.000000,0.278863,58.817975,61.307186,62.598531,64.860585
6J.v.0,0.000000,0.006678,0.000000,0.000000,0.000000,-7.629278,0.093990,0.006663,0.006720,0.006761,0.006798
PL.v.0,0.000000,1629.800000,0.000000,0.000000,0.000000,12.195651,0.414484,1673.749182,1581.862125,1498.813623,1298.310796
UB.v.0,0.000000,122.562500,0.000000,0.000000,0.000000,20.000000,0.098696,122.071954,120.682385,119.703038,118.797129
GC.v.0,0.000000,4267.900000,0.000000,0.000000,0.000000,20.000000,0.219421,4184.231333,3934.907518,3763.581378,3442.240078
GF.v.0,0.000000,371.700000,0.000000,0.000000,0.000000,14.441314,0.215347,374.563596,363.170604,352.262986,323.004507
ZL.v.0,0.000000,51.100000,0.000000,0.000000,0.000000,1.493567,0.224059,50.753847,51.017622,51.410932,50.067705
ZM.v.0,-1.000000,281.000000,-28100.000000,6.005925,5.649426,-11.040928,0.173659,277.195856,279.338835,282.063979,288.441051
HG.v.0,0.000000,4.997500,0.000000,0.000000,0.000000,5.121607,0.332891,5.004602,4.892514,4.838945,4.795981
6B.v.0,0.000000,1.342900,0.000000,0.000000,0.000000,1.503904,0.064049,1.339646,1.343294,1.345151,1.332563
RB.v.0,-1.000000,1.779400,-74734.800000,15.973367,15.025222,-20.000000,0.281238,1.828443,1.895632,1.947264,2.040665
RTY.v.0,0.000000,2469.600000,0.000000,0.000000,0.000000,10.571543,0.220357,2479.933811,2451.017390,2398.287935,2260.555096
LE.v.0,0.000000,242.000000,0.000000,0.000000,0.000000,16.792358,0.187088,243.281635,238.014155,233.240774,220.393779
6S.v.0,0.000000,1.268450,0.000000,0.000000,0.000000,8.359901,0.081667,1.263060,1.261709,1.257759,1.228200
6N.v.0,-1.000000,0.574100,-57410.000000,12.270468,11.542119,-16.925811,0.066005,0.574938,0.581481,0.585984,0.588064
KE.v.0,0.000000,491.750000,0.000000,0.000000,0.000000,-15.986032,0.206691,489.948469,499.703600,508.641524,530.401788
ZC.v.0,0.000000,423.000000,0.000000,0.000000,0.000000,-2.290491,0.198773,418.820712,418.653562,419.854967,434.638595
6C.v.0,-1.000000,0.715200,-71520.000000,15.286255,14.378895,-12.474058,0.038958,0.715288,0.719481,0.722222,0.721108
SI.v.0,0.000000,50.625000,0.000000,0.000000,0.000000,20.000000,0.374898,50.643148,46.971132,44.103984,38.704712
ZN.v.0,0.000000,113.453125,0.000000,0.000000,0.000000,18.291385,0.045070,113.287698,112.895895,112.564533,111.562992
YM.v.0,1.000000,46429.000000,23214.500000,4.961728,4.667210,8.987412,0.128536,46376.577100,46307.913445,45829.403884,44307.788086
ZS.v.0,0.000000,1021.000000,0.000000,0.000000,0.000000,-6.457287,0.134015,1013.932709,1019.679896,1023.909176,1029.541950
ZW.v.0,0.000000,504.500000,0.000000,0.000000,0.000000,-17.862857,0.195235,503.341170,512.358365,519.237520,532.974781
