# Yesterday's Finalized Positions - Date: 20251008
symbol,quantity,entry_price,exit_price,notional,realized_pnl
YM.v.0,4,0,46885,93770,0
RB.v.0,-2,0,1.8988,-159499,0
ZM.v.0,-1,0,277.1,-27710,0
6C.v.0,-1,0,0.71935,-71935,0
PL.v.0,1,0,1652.9,82645,0
RTY.v.0,1,0,2495.2,124760,0
NQ.v.0,2,0,25142,100568,0
6J.v.0,-1,0,0.0066965,-83706.2,0
ZR.v.0,-1,0,10.985,-21970,0
6M.v.0,2,0,0.05413,54130,0
CL.v.0,-2,0,61.69,-123380,0
