symbol,quantity,entry_price,exit_price,realized_pnl
6M.v.0,2,0.05406,0.05387,0
NQ.v.0,1,25297.2,25510.2,0
ZR.v.0,-2,10.505,10.46,0
CL.v.0,-1,61.67,61.44,0
6J.v.0,-1,0.0065855,0.006574,0
6C.v.0,-1,0.71665,0.7162,0
YM.v.0,3,46918,47387,0
RB.v.0,-1,1.8726,1.8631,0
6N.v.0,-2,0.5767,0.57605,0
