symbol,quantity,entry_price,exit_price,realized_pnl
6M.v.0,2,0.05392,0.05406,140
ZR.v.0,-2,10.255,10.505,-1000
CL.v.0,-2,60.07,61.67,-3200
6N.v.0,-2,0.57485,0.5767,-370
6J.v.0,-1,0.0066135,0.0065855,350
NQ.v.0,1,24997,25297.2,600.5
6C.v.0,-2,0.71665,0.71665,0
YM.v.0,3,46665,46918,379.5
RB.v.0,-2,1.8369,1.8726,-2998.8
