# Portfolio Value: 482934.60, Gross Notional: 657317.20, Net Notional: -253078.20, Date: 20251026
symbol,quantity,market_price,notional,pct_of_gross_notional,pct_of_portfolio_value,forecast,volatility,ema_8,ema_32,ema_64,ema_256
NQ.v.0,1.00,25510.25,51020.50,7.76,10.56,13.50,0.193880,25194.370369,24857.031858,24397.853532,22882.548501
ZR.v.0,-1.000000,10.460000,-20920.000000,3.182634,4.331850,-20.000000,0.221116,10.526019,11.013596,11.509227,12.472015
6E.v.0,0.000000,1.165800,0.000000,0.000000,0.000000,0.032810,0.065660,1.166149,1.169910,1.169785,1.148622
HE.v.0,0.000000,81.800000,0.000000,0.000000,0.000000,-20.000000,0.313385,82.677253,86.475709,89.781913,93.525071
6M.v.0,1.000000,0.053870,26935.000000,4.097717,5.577360,6.547741,0.072959,0.053944,0.053876,0.053661,0.052323
CL.v.0,-1.000000,61.440000,-61440.000000,9.347085,12.722220,-5.789878,0.298018,59.658801,60.682075,62.017957,64.522953
6J.v.0,-1.000000,0.006574,-82175.000000,12.501575,17.015762,-17.776785,0.085240,0.006619,0.006688,0.006736,0.006791
PL.v.0,0.000000,1595.100000,0.000000,0.000000,0.000000,4.770702,0.467234,1607.775456,1584.967077,1514.866287,1316.416039
UB.v.0,0.000000,122.812500,0.000000,0.000000,0.000000,18.393056,0.096813,122.969107,121.485590,120.309891,119.030256
GC.v.0,0.000000,4126.900000,0.000000,0.000000,0.000000,9.828941,0.290607,4164.355811,4010.598996,3834.966671,3488.483142
GF.v.0,0.000000,348.175000,0.000000,0.000000,0.000000,1.198139,0.226683,364.163984,362.997232,353.827628,325.446483
ZL.v.0,0.000000,50.290000,0.000000,0.000000,0.000000,-1.743930,0.223035,50.601699,50.905022,51.296840,50.168789
ZM.v.0,1.000000,293.900000,29390.000000,4.471205,6.085710,7.804246,0.165025,286.755202,282.119502,283.143292,288.459432
HG.v.0,0.000000,5.117500,0.000000,0.000000,0.000000,8.334904,0.317063,5.039396,4.936958,4.872063,4.813060
6B.v.0,-1.000000,1.331000,-83187.500000,12.655610,17.225417,-5.734512,0.057684,1.335864,1.341014,1.343628,1.333315
RB.v.0,-1.000000,1.863100,-78250.200000,11.904481,16.203064,-12.242848,0.285078,1.831351,1.871946,1.925118,2.029387
RTY.v.0,0.000000,2521.300000,0.000000,0.000000,0.000000,12.691404,0.217806,2493.437237,2464.476210,2414.587956,2272.705670
LE.v.0,0.000000,233.925000,0.000000,0.000000,0.000000,4.319795,0.208757,240.645532,238.689260,234.326930,221.623874
6S.v.0,0.000000,1.264250,0.000000,0.000000,0.000000,5.145975,0.076145,1.264564,1.262873,1.259094,1.230928
6N.v.0,-1.000000,0.576050,-57605.000000,8.763653,11.928116,-12.426497,0.061715,0.575568,0.579640,0.584204,0.587561
KE.v.0,0.000000,501.750000,0.000000,0.000000,0.000000,-8.013188,0.210154,493.820427,498.149354,506.465542,528.606486
ZC.v.0,0.000000,424.000000,0.000000,0.000000,0.000000,-0.641384,0.191065,422.696002,420.075435,420.433097,434.075710
6C.v.0,-1.000000,0.716200,-71620.000000,10.895805,14.830166,-7.383360,0.036609,0.715834,0.718333,0.721122,0.720993
SI.v.0,0.000000,48.410000,0.000000,0.000000,0.000000,8.773796,0.408561,49.161262,47.598073,44.946361,39.326749
ZN.v.0,0.000000,113.406250,0.000000,0.000000,0.000000,14.797040,0.042542,113.474859,113.099152,112.732939,111.689918
YM.v.0,4.000000,47387.000000,94774.000000,14.418305,19.624604,15.778117,0.131377,46855.299608,46499.984795,46014.402322,44449.337808
ZS.v.0,0.000000,1041.750000,0.000000,0.000000,0.000000,5.568090,0.127848,1031.405732,1024.381978,1025.815480,1030.526884
ZW.v.0,0.000000,513.000000,0.000000,0.000000,0.000000,-9.671346,0.191914,507.090460,511.053898,517.506634,531.799578
