# Portfolio Value: 480587.74, Gross Notional: 627927.20, Net Notional: -282468.20, Date: 20251025
symbol,quantity,market_price,notional,pct_of_gross_notional,pct_of_portfolio_value,forecast,volatility,ema_8,ema_32,ema_64,ema_256
NQ.v.0,1.00,25510.25,51020.50,8.13,10.62,13.61,0.193413,25194.370369,24857.031833,24397.821523,22881.203510
ZR.v.0,-1.000000,10.460000,-20920.000000,3.331596,4.353003,-20.000000,0.220312,10.526019,11.013596,11.509346,12.472205
6E.v.0,0.000000,1.165800,0.000000,0.000000,0.000000,0.088547,0.065379,1.166149,1.169910,1.169783,1.148513
HE.v.0,0.000000,81.800000,0.000000,0.000000,0.000000,-20.000000,0.312799,82.677253,86.475708,89.781510,93.505136
6M.v.0,1.000000,0.053870,26935.000000,4.289510,5.604596,6.825979,0.072662,0.053944,0.053876,0.053661,0.052319
CL.v.0,-1.000000,61.440000,-61440.000000,9.784574,12.784346,-5.837319,0.297337,59.658801,60.682075,62.018055,64.529095
6J.v.0,-1.000000,0.006574,-82175.000000,13.086708,17.098855,-17.488291,0.085025,0.006619,0.006688,0.006736,0.006791
PL.v.0,0.000000,1595.100000,0.000000,0.000000,0.000000,4.821057,0.466635,1607.775456,1584.967072,1514.859284,1315.951482
UB.v.0,0.000000,122.812500,0.000000,0.000000,0.000000,18.346300,0.096619,122.969107,121.485590,120.309883,119.033271
GC.v.0,0.000000,4126.900000,0.000000,0.000000,0.000000,9.735180,0.291208,4164.355811,4010.598973,3834.947253,3487.286959
GF.v.0,0.000000,348.175000,0.000000,0.000000,0.000000,1.083376,0.226945,364.163984,362.997216,353.823062,325.317730
ZL.v.0,0.000000,50.290000,0.000000,0.000000,0.000000,-1.705199,0.222978,50.601699,50.905021,51.296298,50.150427
ZM.v.0,0.000000,293.900000,0.000000,0.000000,0.000000,7.090094,0.164766,286.755202,282.119507,283.144695,288.454525
HG.v.0,0.000000,5.117500,0.000000,0.000000,0.000000,9.018990,0.316805,5.039396,4.936958,4.872055,4.812385
6B.v.0,-1.000000,1.331000,-83187.500000,13.247953,17.309534,-5.639009,0.057459,1.335864,1.341014,1.343627,1.333232
RB.v.0,-1.000000,1.863100,-78250.200000,12.461668,16.282188,-12.215096,0.284564,1.831351,1.871946,1.925119,2.029295
RTY.v.0,0.000000,2521.300000,0.000000,0.000000,0.000000,12.709882,0.217767,2493.437237,2464.476209,2414.586169,2272.665393
LE.v.0,0.000000,233.925000,0.000000,0.000000,0.000000,4.140116,0.208897,240.645532,238.689252,234.324763,221.559235
6S.v.0,0.000000,1.264250,0.000000,0.000000,0.000000,5.173309,0.075878,1.264564,1.262873,1.259092,1.230807
6N.v.0,-1.000000,0.576050,-57605.000000,9.173834,11.986365,-12.616426,0.061785,0.575568,0.579640,0.584204,0.587546
KE.v.0,0.000000,501.750000,0.000000,0.000000,0.000000,-7.982494,0.208975,493.820427,498.149363,506.467959,528.619748
ZC.v.0,0.000000,424.000000,0.000000,0.000000,0.000000,-0.605865,0.190539,422.696002,420.075445,420.435275,434.050743
6C.v.0,-1.000000,0.716200,-71620.000000,11.405781,14.902586,-7.306156,0.036493,0.715834,0.718333,0.721121,0.720971
SI.v.0,0.000000,48.410000,0.000000,0.000000,0.000000,8.841192,0.408167,49.161262,47.598073,44.946112,39.314060
ZN.v.0,0.000000,113.406250,0.000000,0.000000,0.000000,14.785037,0.042397,113.474859,113.099152,112.732900,111.687426
YM.v.0,4.000000,47387.000000,94774.000000,15.093151,19.720436,15.794785,0.131208,46855.299608,46499.984769,46014.369379,44447.661963
ZS.v.0,0.000000,1041.750000,0.000000,0.000000,0.000000,6.577689,0.129810,1031.405732,1024.381969,1025.813217,1030.274714
ZW.v.0,0.000000,513.000000,0.000000,0.000000,0.000000,-9.671808,0.191291,507.090460,511.053904,517.508174,531.811361
