symbol,quantity,entry_price,exit_price,realized_pnl
RB.v.0,-1,0,1.8101,1201.2
6N.v.0,-2,0,0.574,-200
YM.v.0,2,0,46093,-430
ZR.v.0,-1,0,10.7,-230
6C.v.0,-2,0,0.71385,10
ZM.v.0,-1,0,277.3,-140
NQ.v.0,1,0,24758.2,-370
6M.v.0,1,0,0.05391,55
PL.v.0,1,0,1757.2,3210
6J.v.0,-1,0,0.0066985,-468.75
CL.v.0,-1,0,57.39,1300
RTY.v.0,1,0,2474.3,-3035
