# Portfolio Value: 498154.75, Gross Notional: 577373.20, Net Notional: -322697.20, Date: 20251020
symbol,quantity,market_price,notional,pct_of_gross_notional,pct_of_portfolio_value,forecast,volatility,ema_8,ema_32,ema_64,ema_256
6E.v.0,0.00,1.17,0.00,0.00,0.00,2.68,0.069927,1.168641,1.171639,1.170551,1.147232
ZN.v.0,0.000000,113.421875,0.000000,0.000000,0.000000,17.202318,0.044249,113.317515,112.927773,112.590965,111.583296
6M.v.0,2.000000,0.054120,54120.000000,9.373487,10.864094,10.552361,0.074858,0.053929,0.053846,0.053610,0.052226
NQ.v.0,1.000000,25012.000000,50024.000000,8.664067,10.041859,9.793265,0.197062,24922.796984,24701.645905,24248.875752,22767.752753
ZR.v.0,-1.000000,10.640000,-21280.000000,3.685658,4.271765,-20.000000,0.201604,10.747974,11.225555,11.691495,12.581972
CL.v.0,-2.000000,56.950000,-113900.000000,19.727275,22.864381,-20.000000,0.274179,58.402869,61.043114,62.424589,64.783230
6J.v.0,-1.000000,0.006664,-83300.000000,14.427410,16.721711,-8.670575,0.092237,0.006663,0.006717,0.006758,0.006797
PL.v.0,0.000000,1623.600000,0.000000,0.000000,0.000000,9.815424,0.405806,1662.604919,1584.391699,1502.660960,1301.663892
UB.v.0,0.000000,122.531250,0.000000,0.000000,0.000000,19.855523,0.096880,122.174020,120.794438,119.790095,118.830018
GC.v.0,0.000000,4250.000000,0.000000,0.000000,0.000000,20.000000,0.217258,4198.846593,3954.004059,3778.573945,3450.719701
SI.v.0,0.000000,50.355000,0.000000,0.000000,0.000000,19.449381,0.367713,50.579115,47.176216,44.296645,38.822918
6C.v.0,-1.000000,0.715400,-71540.000000,12.390599,14.360999,-11.200052,0.038414,0.715313,0.719234,0.722012,0.721087
YM.v.0,1.000000,46388.000000,23194.000000,4.017159,4.655983,9.213633,0.126105,46379.115522,46312.767196,45846.620713,44327.240444
6B.v.0,0.000000,1.342600,0.000000,0.000000,0.000000,1.536459,0.062693,1.340303,1.343252,1.345073,1.332754
RB.v.0,-1.000000,1.773100,-74470.200000,12.898105,14.949210,-20.000000,0.276289,1.816145,1.888205,1.941903,2.038339
RTY.v.0,0.000000,2466.100000,0.000000,0.000000,0.000000,9.836797,0.216030,2476.859630,2451.931489,2400.376455,2262.382743
LE.v.0,0.000000,242.000000,0.000000,0.000000,0.000000,16.815292,0.185233,243.281635,238.014164,233.243168,220.473329
ZM.v.0,-1.000000,281.000000,-28100.000000,4.866869,5.640817,-10.020255,0.172029,277.195856,279.338832,282.062985,288.532637
GF.v.0,0.000000,371.700000,0.000000,0.000000,0.000000,14.554145,0.213764,374.563596,363.170623,352.268026,323.151572
ZL.v.0,0.000000,51.100000,0.000000,0.000000,0.000000,1.410400,0.224638,50.753847,51.017623,51.411513,50.081575
HG.v.0,0.000000,4.986000,0.000000,0.000000,0.000000,5.038547,0.326178,5.000468,4.898180,4.843480,4.798538
6S.v.0,0.000000,1.268200,0.000000,0.000000,0.000000,8.170339,0.079944,1.264202,1.262103,1.258082,1.228696
6N.v.0,-1.000000,0.574450,-57445.000000,9.949371,11.531557,-16.144528,0.064946,0.574829,0.581055,0.585629,0.587974
KE.v.0,0.000000,491.750000,0.000000,0.000000,0.000000,-16.099601,0.207343,489.948469,499.703592,508.639616,530.434385
ZC.v.0,0.000000,423.000000,0.000000,0.000000,0.000000,-2.348804,0.199252,418.820712,418.653552,419.852911,434.667326
ZS.v.0,0.000000,1021.000000,0.000000,0.000000,0.000000,-7.261604,0.132446,1013.932709,1019.679909,1023.912346,1029.818850
HE.v.0,0.000000,82.350000,0.000000,0.000000,0.000000,-20.000000,0.339161,83.885395,88.011664,91.047525,94.041427
ZW.v.0,0.000000,504.500000,0.000000,0.000000,0.000000,-18.044449,0.195942,503.341170,512.358361,519.236692,533.027761
