# Portfolio Value: 478549.19, Gross Notional: 626694.45, Net Notional: -276631.45, Date: 20251024
symbol,quantity,market_price,notional,pct_of_gross_notional,pct_of_portfolio_value,forecast,volatility,ema_8,ema_32,ema_64,ema_256
6E.v.0,0.00,1.16,0.00,0.00,0.00,-0.53,0.066020,1.166249,1.170175,1.169909,1.148239
ZN.v.0,0.000000,113.375000,0.000000,0.000000,0.000000,16.247294,0.043994,113.494462,113.079339,112.711470,111.666282
6M.v.0,2.000000,0.054060,54060.000000,8.626213,11.296644,9.107864,0.072338,0.053965,0.053876,0.053654,0.052302
NQ.v.0,1.000000,25297.250000,50594.500000,8.073232,10.572476,11.736118,0.194692,25104.119046,24814.888698,24362.465800,22856.774240
ZR.v.0,-2.000000,10.505000,-42020.000000,6.705022,8.780706,-20.000000,0.224300,10.544881,11.049312,11.542714,12.491965
CL.v.0,-1.000000,61.670000,-61670.000000,9.840521,12.886867,-7.393419,0.302427,59.149887,60.633177,62.036502,64.562246
6J.v.0,-1.000000,0.006586,-82318.750000,13.135388,17.201732,-16.189975,0.087445,0.006632,0.006695,0.006742,0.006792
PL.v.0,0.000000,1591.500000,0.000000,0.000000,0.000000,4.293938,0.476364,1611.397014,1584.313329,1512.304299,1313.015551
UB.v.0,0.000000,122.937500,0.000000,0.000000,0.000000,20.000000,0.099552,123.013852,121.399982,120.230385,118.994530
GC.v.0,0.000000,4136.800000,0.000000,0.000000,0.000000,10.269239,0.297215,4175.057471,4003.095657,3825.655122,3480.322634
SI.v.0,0.000000,48.535000,0.000000,0.000000,0.000000,9.307129,0.416904,49.375908,47.545690,44.835854,39.220078
6C.v.0,-1.000000,0.716650,-71665.000000,11.435397,14.975472,-7.135120,0.037452,0.715729,0.718471,0.721277,0.720978
YM.v.0,3.000000,46918.000000,70377.000000,11.229874,14.706325,13.120542,0.129212,46703.385211,46442.757950,45970.750377,44420.662032
6B.v.0,0.000000,1.332700,0.000000,0.000000,0.000000,-4.302552,0.058401,1.337254,1.341660,1.344027,1.333168
RB.v.0,-1.000000,1.872600,-78649.200000,12.549848,16.434925,-13.392491,0.289251,1.822280,1.872517,1.927089,2.030668
RTY.v.0,0.000000,2498.700000,0.000000,0.000000,0.000000,10.731041,0.220164,2485.476448,2460.810156,2411.195677,2270.444391
LE.v.0,0.000000,241.150000,0.000000,0.000000,0.000000,10.978781,0.190466,242.565684,238.996624,234.337474,221.435534
ZM.v.0,0.000000,292.000000,0.000000,0.000000,0.000000,4.629946,0.167746,284.713832,281.359473,282.802710,288.404115
GF.v.0,0.000000,357.600000,0.000000,0.000000,0.000000,4.230111,0.219319,368.732266,363.953491,354.002653,325.088364
ZL.v.0,0.000000,50.860000,0.000000,0.000000,0.000000,-0.450577,0.224962,50.690755,50.944699,51.328295,50.147984
HG.v.0,0.000000,5.098500,0.000000,0.000000,0.000000,7.434206,0.321783,5.017081,4.925310,4.864252,4.808919
6S.v.0,0.000000,1.264950,0.000000,0.000000,0.000000,5.327053,0.076929,1.264654,1.262784,1.258927,1.230373
6N.v.0,-2.000000,0.576700,-115340.000000,18.404503,24.102015,-12.513379,0.062488,0.575430,0.579871,0.584462,0.587621
KE.v.0,0.000000,500.500000,0.000000,0.000000,0.000000,-10.461994,0.213326,491.554835,497.917063,506.617976,528.884035
ZC.v.0,0.000000,427.750000,0.000000,0.000000,0.000000,0.423615,0.191043,422.323431,419.822246,420.321862,434.152883
ZS.v.0,0.000000,1044.000000,0.000000,0.000000,0.000000,5.598056,0.132130,1028.450226,1023.261445,1025.306179,1030.155798
HE.v.0,0.000000,81.875000,0.000000,0.000000,0.000000,-20.000000,0.318904,82.927897,86.777367,90.035297,93.617664
ZW.v.0,0.000000,513.000000,0.000000,0.000000,0.000000,-11.545019,0.195250,505.402019,510.928349,517.651520,531.996179
