# Portfolio Value: 500889.60, Gross Notional: 860033.65, Net Notional: -190614.65, Date: 20251016
symbol,quantity,market_price,notional,pct_of_gross_notional,pct_of_portfolio_value,forecast,volatility,ema_8,ema_32,ema_64,ema_256
6E.v.0,0.00,1.17,0.00,0.00,0.00,0.27,0.070107,1.166696,1.171851,1.170536,1.146222
ZN.v.0,0.000000,113.312500,0.000000,0.000000,0.000000,17.151533,0.041246,113.059128,112.794458,112.493717,111.519140
6M.v.0,1.000000,0.053800,26900.000000,3.127785,5.370445,5.312513,0.077172,0.053786,0.053805,0.053568,0.052164
NQ.v.0,1.000000,24943.250000,49886.500000,5.800529,9.959580,9.091071,0.206193,24887.013124,24652.512943,24181.110820,22703.841836
ZR.v.0,-1.000000,10.585000,-21170.000000,2.461532,4.226480,-20.000000,0.202760,10.801345,11.299679,11.757804,12.625659
CL.v.0,-1.000000,58.690000,-58690.000000,6.824152,11.717153,-18.807504,0.281110,59.801958,61.838549,62.939338,65.007643
6J.v.0,-1.000000,0.006661,-83268.750000,9.682034,16.624172,-11.346513,0.095396,0.006647,0.006725,0.006765,0.006799
PL.v.0,1.000000,1693.000000,84650.000000,9.842638,16.899932,19.058418,0.324142,1666.050688,1567.257691,1486.302240,1290.147800
UB.v.0,0.000000,122.187500,0.000000,0.000000,0.000000,18.768457,0.096902,121.564097,120.389625,119.497693,118.726771
GC.v.0,0.000000,4223.200000,0.000000,0.000000,0.000000,20.000000,0.160770,4097.904857,3883.399822,3727.475728,3423.777417
SI.v.0,0.000000,52.405000,0.000000,0.000000,0.000000,20.000000,0.319447,49.787857,46.288650,43.586296,38.432950
6C.v.0,-2.000000,0.713900,-142780.000000,16.601676,28.505283,-14.943080,0.039237,0.715732,0.720138,0.722717,0.721174
YM.v.0,2.000000,46523.000000,46523.000000,5.409440,9.288075,10.333885,0.127842,46438.341736,46313.462745,45801.332237,44269.426375
6B.v.0,0.000000,1.340400,0.000000,0.000000,0.000000,-1.864588,0.065356,1.337093,1.343250,1.345246,1.332181
RB.v.0,-1.000000,1.838700,-77225.400000,8.979346,15.417649,-20.000000,0.282912,1.851700,1.909132,1.957120,2.044866
RTY.v.0,1.000000,2535.000000,126750.000000,14.737795,25.304977,16.138707,0.215954,2485.339564,2448.239058,2393.534579,2256.734441
LE.v.0,0.000000,246.650000,0.000000,0.000000,0.000000,20.000000,0.172219,242.475764,237.112282,232.489510,219.845796
ZM.v.0,-1.000000,275.900000,-27590.000000,3.208014,5.508200,-18.206933,0.169251,275.768660,279.356290,282.251240,288.616381
GF.v.0,0.000000,380.850000,0.000000,0.000000,0.000000,20.000000,0.203502,373.783700,361.436123,350.707039,321.828315
ZL.v.0,0.000000,50.830000,0.000000,0.000000,0.000000,0.160581,0.230467,50.599216,51.022776,51.438388,50.033247
HG.v.0,0.000000,4.966500,0.000000,0.000000,0.000000,5.175787,0.346838,5.013955,4.879595,4.829222,4.790779
6S.v.0,0.000000,1.263800,0.000000,0.000000,0.000000,4.268242,0.081351,1.258812,1.260647,1.256986,1.227224
6N.v.0,-2.000000,0.573000,-114600.000000,13.325060,22.879293,-18.732736,0.067569,0.575513,0.582470,0.586753,0.588268
KE.v.0,0.000000,488.000000,0.000000,0.000000,0.000000,-19.275910,0.214965,489.486244,500.924280,509.814678,531.275543
ZC.v.0,0.000000,417.250000,0.000000,0.000000,0.000000,-6.596584,0.204041,416.377096,418.139164,419.685525,434.902480
ZS.v.0,0.000000,1007.000000,0.000000,0.000000,0.000000,-11.154496,0.133178,1011.960193,1020.100826,1024.387988,1029.635103
HE.v.0,0.000000,83.475000,0.000000,0.000000,0.000000,-19.068587,0.351321,84.830959,88.752865,91.602377,94.233719
ZW.v.0,0.000000,498.750000,0.000000,0.000000,0.000000,-20.000000,0.201438,503.155812,513.534097,520.254447,533.610876
