symbol,quantity,avg_price,market_price,notional,unrealized_pnl,realized_pnl,forecast
ES.v.0,0,6697.75,6697.75,0,0,2843.25,0
NQ.v.0,2,24726.5,24726.5,49453,0,-226.5,17.9338
ZR.v.0,-1,11.275,11.275,-11.275,0,0.15,-20
6E.v.0,0,1.17555,1.17555,0,0,0,3.73743
HE.v.0,0,91,91,0,0,0,-7.00638
6M.v.0,2,0.05401,0.05401,0.10802,0,0,11.0795
CL.v.0,0,65.19,65.19,0,0,0,1.05486
6J.v.0,0,0.006742,0.006742,0,0,0,-7.69091
PL.v.0,1,1589.8,1589.8,1589.8,0,0,19.9989
UB.v.0,0,119.719,119.719,0,0,0,5.22017
GC.v.0,0,3789.8,3789.8,0,0,0,20
GF.v.0,0,354.675,354.675,0,0,0,9.34524
ZL.v.0,0,50.15,50.15,0,0,0,-3.53007
ZM.v.0,-1,274.9,274.9,-274.9,0,0,-20
HG.v.0,0,4.7645,4.7645,0,0,0,1.97688
6B.v.0,0,1.3403,1.3403,0,0,0,-3.4517
RB.v.0,-1,1.9787,1.9787,-1.9787,0,0,-10.674
RTY.v.0,1,2449.2,2449.2,2449.2,0,0,14.6867
LE.v.0,0,234.35,234.35,0,0,0,10.1616
6S.v.0,0,1.2646,1.2646,0,0,0,5.48419
6N.v.0,-1,0.5791,0.5791,-0.5791,0,0,-13.3363
KE.v.0,0,505.25,505.25,0,0,0,-11.0033
ZC.v.0,0,421.5,421.5,0,0,0,-2.81316
6C.v.0,-1,0.71985,0.71985,-0.71985,0,0,-7.64303
SI.v.0,0,46.365,46.365,0,0,0,20
ZN.v.0,0,112.297,112.297,0,0,0,5.23219
YM.v.0,5,46500,46555,232500,0,385,16.0299
ZS.v.0,0,1014,1014,0,0,0,-8.73553
ZW.v.0,0,519,519,0,0,0,-10.5347
