symbol,quantity,entry_price,exit_price,realized_pnl
YM.v.0,1,46429,46388,-20.5
RB.v.0,-1,1.7794,1.7731,264.6
ZM.v.0,-1,277.3,281,0
6C.v.0,-1,0.7152,0.7154,-20
ZR.v.0,-1,10.7,10.64,0
6M.v.0,1,0.05409,0.05412,15
CL.v.0,-2,57.25,56.95,600
6N.v.0,-1,0.5741,0.57445,-35
NQ.v.0,1,25033.5,25012,-43
