date,open,high,low,close,adj_close,volume
2007-05-30,91.580002,91.599998,91.500000,91.599998,71.212761,1550
2007-05-31,91.580002,91.599998,91.580002,91.599998,71.212761,11200
2007-06-01,91.620003,91.620003,91.620003,91.620003,71.228302,1450
2007-06-04,91.639999,91.639999,91.639999,91.639999,71.243828,1050
2007-06-05,91.660004,91.680000,91.639999,91.639999,71.243828,3750
2007-06-06,91.639999,91.680000,91.639999,91.680000,71.274971,9750
2007-06-07,91.639999,91.660004,91.639999,91.660004,71.259384,12150
2007-06-08,91.680000,91.680000,91.620003,91.680000,71.274971,7850
2007-06-11,91.680000,91.720001,91.680000,91.720001,71.306015,2400
2007-06-12,91.720001,91.720001,91.639999,91.639999,71.243828,3900
2007-06-13,91.639999,91.720001,91.639999,91.720001,71.306015,3750
2007-06-14,91.760002,91.760002,91.760002,91.760002,71.337143,13400
2007-06-15,91.800003,91.839996,91.739998,91.839996,71.399353,1050
2007-06-18,91.820000,91.879997,91.800003,91.860001,71.414871,28000
2007-06-19,91.860001,91.860001,91.860001,91.860001,71.414871,850
2007-06-20,91.839996,91.900002,91.839996,91.879997,71.430443,3100
2007-06-21,91.860001,91.900002,91.860001,91.879997,71.430443,850
2007-06-22,91.900002,91.959999,91.900002,91.959999,71.492599,2200
2007-06-25,91.900002,91.919998,91.900002,91.919998,71.461563,29700
2007-06-26,91.919998,91.940002,91.900002,91.940002,71.477112,5100
2007-06-27,91.959999,91.959999,91.919998,91.919998,71.461563,8200
2007-06-28,91.959999,91.959999,91.959999,91.959999,71.492599,900
2007-06-29,91.959999,92.000000,91.940002,92.000000,71.523720,5650
2007-07-02,91.620003,91.699997,91.599998,91.620003,71.544037,13050
2007-07-03,91.559998,91.620003,91.559998,91.620003,71.544037,3000
2007-07-05,91.599998,91.620003,91.540001,91.620003,71.544037,5450
2007-07-06,91.639999,91.660004,91.639999,91.660004,71.575256,3800
2007-07-09,91.599998,91.680000,91.599998,91.680000,71.590897,3950
2007-07-10,91.660004,91.699997,91.660004,91.699997,71.606506,5250
2007-07-11,91.699997,91.699997,91.620003,91.699997,71.606506,9100
2007-07-12,91.720001,91.720001,91.680000,91.720001,71.622116,14700
2007-07-13,91.720001,91.739998,91.699997,91.739998,71.637741,13050
2007-07-16,91.779999,91.779999,91.720001,91.760002,71.653366,16150
2007-07-17,91.800003,91.800003,91.720001,91.800003,71.684616,46500
2007-07-18,91.760002,91.779999,91.699997,91.779999,71.668976,5450
2007-07-19,91.800003,91.820000,91.739998,91.800003,71.684616,13900
2007-07-20,91.860001,91.860001,91.839996,91.839996,71.715851,8000
2007-07-23,91.839996,91.860001,91.820000,91.839996,71.715851,6950
2007-07-24,91.839996,91.860001,91.820000,91.839996,71.715851,9350
2007-07-25,91.860001,91.879997,91.860001,91.860001,71.731453,9800
2007-07-26,91.860001,91.900002,91.800003,91.879997,71.747063,41050
2007-07-27,91.860001,92.000000,91.620003,91.919998,71.778313,153800
2007-07-30,91.900002,91.940002,91.839996,91.839996,71.715851,10300
2007-07-31,91.959999,91.959999,91.919998,91.959999,71.809532,54000
2007-08-01,91.580002,91.599998,91.500000,91.559998,71.786026,18650
2007-08-02,91.500000,91.580002,91.480003,91.580002,71.801682,49750
2007-08-03,91.620003,91.639999,91.540001,91.540001,71.770378,26200
2007-08-06,91.639999,91.660004,91.599998,91.639999,71.848717,22300
2007-08-07,91.660004,91.680000,91.580002,91.660004,71.864449,13950
2007-08-08,91.660004,91.680000,91.599998,91.620003,71.833076,19750
2007-08-09,91.680000,91.739998,91.660004,91.699997,71.895798,103150
2007-08-10,91.760002,91.779999,91.739998,91.760002,71.942833,112100
2007-08-13,91.760002,91.800003,91.739998,91.779999,71.958458,71800
2007-08-14,91.760002,91.800003,91.739998,91.760002,71.942833,130650
